Time,C_1,C_2,C_3,C-4,C_5,C_6,C_7,C_8
1486944547.210948,907,982,813,649,649,813,316,1623
1486944547.226285,1103,848,908,742,721,863,286,1485
1486944547.248949,1125,685,955,876,786,1022,348,1329
1486944547.271517,1142,676,993,1013,961,1116,556,1145
1486944547.286799,994,841,1030,1144,1050,1200,843,1086
1486944547.308575,903,938,1092,1311,1124,1170,964,1135
1486944547.333849,909,1126,1048,1372,1143,1235,1053,1125
1486944547.349518,1149,1269,1082,1325,1170,1147,1110,1205
1486944547.371958,1401,1388,1145,1278,1160,1120,1220,1172
1486944547.399574,1410,1372,1220,1271,1202,1123,1089,1092
1486944547.410175,1381,1402,1323,1233,1226,1136,1128,950
1486944547.428709,1382,1349,1330,1194,1328,1133,1112,843
1486944547.451529,1435,1272,1397,1271,1276,1228,1112,725
1486944547.467747,1344,1115,1373,1287,1258,1315,1115,820
1486944547.48989,1429,1072,1438,1221,1192,1375,1182,991
1486944547.511168,1463,1038,1428,1238,1201,1359,1150,1199
1486944547.526364,1337,1105,1454,1319,1168,1430,1079,1340
1486944547.549222,1190,1176,1406,1247,1201,1466,1101,1292
1486944547.571773,1134,1241,1405,1291,1203,1372,1027,1365
1486944547.594364,1075,1323,1236,1322,1138,1334,1088,1250
1486944547.611184,1230,1315,1135,1275,1074,1334,1010,1208
1486944547.632499,1390,1238,1022,1172,1013,1203,1152,1147
1486944547.655169,1421,1212,883,1108,1047,1115,1133,1154
1486944547.677925,1512,1156,844,1011,976,1214,1101,1068
1486944547.700774,1610,993,860,987,1005,1342,1024,1172
1486944547.723638,1557,1031,899,873,930,1364,1040,1097
1486944547.751466,1481,1125,969,866,814,1430,996,1030
1486944547.767974,1418,1188,1026,915,625,1449,1133,953
1486944547.798022,1283,1441,1056,922,553,1451,1177,848
1486944547.825817,1094,1515,1045,866,640,1353,1110,603
1486944547.853903,1110,1527,1027,948,695,1364,1155,360
1486944547.859206,1110,1501,995,919,719,1237,1102,194
1486944547.871744,1219,1537,926,926,693,1122,872,525
1486944547.877054,1287,1292,786,863,671,1006,784,729
1486944547.888229,1311,1172,696,776,453,856,772,853
1486944547.910898,1169,1024,498,568,305,744,634,945
1486944547.93127,1186,940,329,538,160,812,539,1070
1486944547.947732,1001,605,234,427,134,839,526,1067
1486944547.970561,812,580,208,401,121,789,300,978
1486944547.992052,780,565,176,417,85,719,193,902
1486944548.00859,729,516,143,411,82,609,165,844
1486944548.030125,558,252,119,368,70,424,135,726
1486944548.051853,545,256,109,325,62,399,132,550
1486944548.067982,544,254,91,317,64,428,365,480
1486944548.090699,519,236,82,312,60,467,481,452
1486944548.111004,504,246,71,329,59,498,487,417
1486944548.127446,467,234,65,282,54,488,509,346
1486944548.150345,448,209,61,277,74,405,542,420
1486944548.171832,442,232,60,532,73,359,537,440
1486944548.194499,430,242,56,538,69,388,592,410
1486944548.211133,380,250,51,536,70,404,591,399
1486944548.231266,440,432,44,538,90,434,592,469
1486944548.255647,413,807,42,537,72,485,568,375
1486944548.27052,399,837,39,247,73,463,458,347
1486944548.291957,392,858,43,206,73,437,280,358
1486944548.308536,385,872,51,177,75,550,567,362
1486944548.330037,305,841,46,157,54,636,673,284
1486944548.353262,277,519,49,164,60,688,723,316
1486944548.369724,310,469,50,196,63,741,761,354
1486944548.390828,291,421,48,214,64,756,767,342
1486944548.413644,292,389,37,225,67,712,663,313
1486944548.427757,255,279,38,239,69,643,633,291
1486944548.451538,262,230,39,235,63,572,596,261
1486944548.473194,197,200,40,215,57,509,576,211
1486944548.488293,178,189,42,198,60,444,547,203
1486944548.510992,187,183,45,204,57,326,450,195
1486944548.532882,199,175,46,200,56,257,302,179
1486944548.54788,208,193,44,211,56,328,233,178
1486944548.584522,223,217,44,202,60,371,143,205
1486944548.594897,226,221,41,201,58,376,118,213
1486944548.608666,203,204,39,189,55,376,97,201
1486944548.630004,189,204,40,196,51,378,73,206
